,distance metric
0,0.00015817849775353457
1,0.00015817849775353457
2,0.00015817849775353457
3,0.00015817849775353457
4,0.00015817849775353457
5,0.00015817849775353457
6,0.00012024501814709327
7,0.00012024501814709327
8,0.00012024501814709327
9,0.00012024501814709327
10,0.000132170652155307
11,0.000132170652155307
12,0.000132170652155307
13,0.000132170652155307
14,0.000132170652155307
15,0.000132170652155307
16,0.000132170652155307
17,0.000132170652155307
18,0.000132170652155307
19,0.000132170652155307
20,0.000132170652155307
21,0.000132170652155307
22,0.000132170652155307
23,0.000132170652155307
24,0.000132170652155307
25,0.000132170652155307
26,0.000132170652155307
27,0.000132170652155307
28,0.000132170652155307
29,0.000132170652155307
30,0.000132170652155307
31,0.000132170652155307
32,0.000132170652155307
33,0.000132170652155307
34,0.000132170652155307
35,0.000132170652155307
36,0.000132170652155307
37,0.000132170652155307
38,0.000132170652155307
39,0.000132170652155307
40,0.000132170652155307
41,0.00011948126379112038
42,0.00011948126379112038
43,0.00011948126379112038
44,0.00011948126379112038
45,0.00011948126379112038
46,0.00011948126379112038
47,0.00011948126379112038
48,0.00011685288186323261
49,0.00011685288186323261
50,0.00011685288186323261
51,0.00011685288186323261
52,0.00011685288186323261
53,0.00011685288186323261
54,0.00011685288186323261
55,0.00011685288186323261
56,0.00011685288186323261
57,0.00016798821929142147
58,0.00016798821929142147
59,0.00016798821929142147
60,0.00016798821929142147
61,0.00016798821929142147
62,0.00016798821929142147
63,0.00016798821929142147
64,0.00016798821929142147
65,0.00016798821929142147
66,0.00016798821929142147
67,0.00016798821929142147
68,0.00016798821929142147
69,0.00016798821929142147
70,0.00016798821929142147
71,0.00016798821929142147
72,0.00016798821929142147
73,0.00016798821929142147
74,0.00016798821929142147
75,0.00016798821929142147
76,0.00016798821929142147
77,0.00016798821929142147
78,0.00016798821929142147
79,0.00016798821929142147
80,0.00016798821929142147
81,0.00016798821929142147
82,0.00016798821929142147
83,0.00016798821929142147
84,0.00016798821929142147
85,0.00016798821929142147
86,0.00016798821929142147
87,0.00016798821929142147
88,0.00016798821929142147
89,0.00016798821929142147
90,0.00016798821929142147
91,0.00016798821929142147
92,0.00024903310661773305
93,0.00024903310661773305
94,0.00024903310661773305
95,0.00024903310661773305
96,0.00024903310661773305
97,0.00024903310661773305
98,0.00024903310661773305
99,0.00024903310661773305
100,0.00024903310661773305
101,0.00024903310661773305
102,0.00024903310661773305
103,0.00024903310661773305
104,0.00024903310661773305
